Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
WON,Capob,Russia,3368,2572,23.63%,43654,40795,6.55%
,,,,,,,,
Position,Player Name,Score,FP,Ratio,Ratio Pos,,,
14,Pomelo,134,1250,107.2,1,,,
58,Zoom Flocker,34,332,102.4096386,2,,,
3,Ave Falcon,259,2670,97.00374532,3,,,
7,Flappy Wingspan,179,1964,91.14052953,4,,,
1,Sparky,370,4173,88.66522885,5,,,
6,Eggy Strike,187,2156,86.73469388,6,,,
9,Jim Me,170,1992,85.34136546,7,,,
5,Bossy,193,2324,83.0464716,8,,,
8,Falafel,178,2171,81.98986642,9,,,
13,Fury Silver,134,1827,73.34428024,10,,,
41,Mi Hung Lo,59,805,73.29192547,11,,,
64,MeltedPeep,8,111,72.07207207,12,,,
11,Cubsontap,158,2255,70.06651885,13,,,
16,Wobbly Wings1,116,1676,69.2124105,14,,,
12,Mindy,141,2047,68.88128969,15,,,
61,Dash Feathers,24,351,68.37606838,16,,,
21,Xax,98,1476,66.39566396,17,,,
18,Lola awesome,110,1662,66.18531889,18,,,
20,Jake,105,1600,65.625,19,,,
59,Chenna,33,525,62.85714286,20,,,
15,Kris,121,1934,62.56463289,21,,,
33,roohby,68,1094,62.15722121,22,,,
34,Babe,64,1032,62.01550388,23,,,
43,Notorious wingz,52,883,58.89014723,24,,,
25,Flip,85,1468,57.90190736,25,,,
63,Sebastin,11,196,56.12244898,26,,,
26,CJwoy,84,1505,55.81395349,27,,,
42,Lily,59,1065,55.39906103,28,,,
65,Birdman,8,147,54.42176871,29,,,
54,The Real Meme,43,807,53.28376704,30,,,
49,Bic,47,957,49.11180773,31,,,
57,KELSO,36,747,48.19277108,32,,,
,,,,,,,,
,Played Totals,3368,45202,70.49106941,,,,
,,,,,,,,
,Nette,,1694,Kick,,,,
,Flight Feathers,,1924,,,,,
,Shaggy Topple,,1308,,,,,
,,,,,,,,
,Not Played Totals,3,4926,9.83%,3698.968082,<- Projected Score,,
,,,,Not Played FP Ratio,,,,
,,,,,,,,
,Blinky Barrelro,,40,Hold,,,,
,Bobuguine,,38,Hold,,,,
,Buzz Topple,,25,Hold,,,,
,Cross BaconBust,,27,Hold,,,,
,Dodgy Turkey,,36,Hold,,,,
,Floppy Turkey,,28,Hold,,,,
,Jinx Rooster,,34,Hold,,,,
,Liam,,31,Hold,,,,
,Monty Schnitzel,,28,Hold,,,,
,Nawi,,25,Hold,,,,
,Snouty Wingman,,45,Hold,,,,
,Tweet McOwl,,37,Hold,,,,
,Yup,,34,Hold,,,,
,,,,,,,,
,Holding Pen Totals,13,428,0.85%,,,,
,,,,,,,,
,Not Played + Holding Pen,,5354,#REF!,#REF!,<- Projected Score,,

---

Outcome:,Opponent Name:,Country:,Our Score:,Their Score:,WL Factor,Our FP:,Their FP:,FP Difference:
LOST,(Symbols),Taiwan,3250,4255,-30.92%,42852,40112,6.39%
,,,,,,,,
Position,Player Name,Score,FP,Ratio,Ratio Pos,,,
31,Pomelo,103,1250,82.4,1,,,
14,Bossy,198,2465,80.32454361,2,,,
6,Sparky,306,4001,76.48087978,3,,,
34,Lily,84,1113,75.47169811,4,,,
21,Jim Me,147,2017,72.88051562,5,,,
25,Fury Silver,132,1827,72.24958949,6,,,
13,Ave Falcon,209,2944,70.99184783,7,,,
16,Eggy Strike,159,2248,70.72953737,8,,,
43,Chenna,44,627,70.1754386,9,,,
20,Mindy,148,2109,70.1754386,10,,,
26,Flight Feathers,126,1850,68.10810811,11,,,
24,Kris,135,2122,63.61922714,12,,,
28,Wobbly Wings1,108,1737,62.1761658,13,,,
41,Notorious wingz,48,792,60.60606061,14,,,
19,Cubsontap,148,2451,60.38351693,15,,,
44,KELSO,42,696,60.34482759,16,,,
29,Jake,107,1791,59.74316025,17,,,
30,Lola awesome,104,1753,59.32686823,18,,,
22,Falafel,146,2485,58.75251509,19,,,
38,Mi Hung Lo,58,1002,57.88423154,20,,,
37,Bic,61,1058,57.65595463,21,,,
42,The Real Meme,46,807,57.00123916,22,,,
32,Flip,91,1652,55.08474576,23,,,
50,MeltedPeep,6,109,55.04587156,24,,,
39,roohby,57,1075,53.02325581,25,,,
33,Xax,84,1606,52.30386052,26,,,
27,Flappy Wingspan,117,2267,51.61005734,27,,,
35,CJwoy,76,1530,49.67320261,28,,,
36,Babe,68,1433,47.45289602,29,,,
40,Aliss,53,1133,46.77846425,30,,,
45,Zoom Flocker,15,329,45.59270517,31,,,
49,Birdman,8,177,45.19774011,32,,,
47,Sebastin,8,218,36.69724771,33,,,
48,Dash Feathers,8,365,21.91780822,34,,,
,,,,,,,,
,Played Totals,3250,51039,59.64291821,,,,
,,,,,,,,
,Turkey of Prey,,214,Kick (First),,,,
,Shaggy Topple,,1308,Kick,,,,
,,,,,,,,
,Not Played Totals,2,1522,2.90%,3344.109701,<- Projected Score,,
,,,,Not Played FP Ratio,,,,
,,,,,,,,
,Blinky Barrelro,,40,Hold,,,,
,Bobuguine,,38,Hold,,,,
,Buzz Topple,,25,Hold,,,,
,Cross BaconBust,,27,Hold,,,,
,Dodgy Turkey,,36,Hold,,,,
,Floppy Turkey,,28,Hold,,,,
,Jinx Rooster,,34,Hold,,,,
,Liam,,31,Hold,,,,
